766:[6236.237999999994, 112.0]
523:[2222.2019999999957, 347.0]
392:[2409.967000000004, 349.0]
229:[2325.5489999999945, 349.0]
897:[1935.5649999999987, 349.0]
960:[2762.646000000005, 351.0]
349:[2002.1640000000036, 353.0]
893:[1919.2409999999975, 353.0]
8:[3097.725999999999, 355.0]
910:[1667.9559999999983, 355.0]
296:[2235.253000000003, 358.0]
638:[2297.4170000000004, 359.0]
413:[2664.6639999999948, 360.0]
841:[1886.6970000000006, 360.0]
116:[2174.792999999995, 362.0]
913:[1943.505999999992, 362.0]
663:[2376.8110000000006, 363.0]
579:[2187.461999999992, 363.0]
658:[1883.528999999996, 365.0]
151:[2596.386999999993, 368.0]
706:[1890.4710000000043, 368.0]
921:[2379.5299999999997, 370.0]
69:[2358.686, 370.0]
90:[1825.0909999999992, 370.0]
982:[1611.812000000001, 371.0]
480:[2310.259999999999, 375.0]
440:[1926.8749999999961, 375.0]
605:[1647.724999999999, 375.0]
285:[2667.1369999999965, 376.0]
6:[2133.544999999999, 376.0]
100:[1732.9080000000013, 376.0]
758:[2851.604999999991, 381.0]
788:[2409.4679999999958, 381.0]
673:[1638.455999999996, 382.0]
887:[1674.9930000000024, 383.0]
736:[1472.7120000000032, 383.0]
853:[1814.9519999999923, 384.0]
984:[1738.9359999999951, 384.0]
970:[2075.7759999999976, 385.0]
52:[1980.5490000000013, 385.0]
214:[1917.958999999997, 385.0]
967:[1700.4030000000037, 390.0]
534:[1495.6949999999972, 390.0]
78:[2477.405000000009, 394.0]
826:[2060.065, 394.0]
192:[2018.9099999999958, 394.0]
17:[1665.8470000000018, 401.0]
448:[1327.0280000000025, 404.0]
427:[1867.2250000000008, 405.0]
793:[3069.6139999999973, 407.0]
780:[2317.959999999999, 407.0]
617:[2640.180999999998, 408.0]
334:[2129.449999999999, 411.0]
45:[1719.3189999999952, 413.0]
351:[1631.963999999998, 416.0]
326:[1455.6400000000015, 422.0]
834:[1384.814, 426.0]
486:[1549.0149999999999, 427.0]
129:[1539.6679999999994, 427.0]
620:[2116.991, 428.0]
168:[1548.0550000000005, 430.0]
639:[1579.3760000000004, 433.0]
196:[2108.4079999999985, 435.0]
403:[1710.9879999999962, 435.0]
814:[1668.4050000000016, 435.0]
236:[2615.741999999999, 441.0]
815:[1345.2899999999977, 441.0]
763:[1856.2920000000065, 442.0]
210:[2006.7390000000053, 443.0]
846:[1494.3019999999972, 443.0]
27:[2206.204000000006, 447.0]
572:[1594.8500000000017, 450.0]
678:[1332.9180000000006, 451.0]
618:[1322.2980000000002, 451.0]
932:[1769.2390000000007, 453.0]
577:[1665.896999999999, 453.0]
516:[1569.4409999999966, 453.0]
290:[1773.4489999999992, 454.0]
424:[1455.0489999999995, 454.0]
104:[1141.4259999999972, 454.0]
31:[1632.0749999999953, 458.0]
110:[1793.2689999999984, 460.0]
143:[1415.4069999999983, 460.0]
812:[1523.0119999999988, 461.0]
240:[1404.9199999999996, 461.0]
832:[2082.1989999999987, 464.0]
923:[1764.5610000000033, 464.0]
580:[1684.2190000000005, 466.0]
769:[1643.9589999999992, 469.0]
115:[1756.1619999999982, 470.0]
461:[1483.991999999997, 472.0]
25:[1408.9140000000016, 472.0]
242:[2363.687000000001, 474.0]
950:[1461.427999999998, 474.0]
198:[1458.5229999999979, 474.0]
68:[1614.2740000000033, 475.0]
309:[1262.1729999999993, 478.0]
55:[1909.947999999995, 481.0]
594:[1516.779, 483.0]
975:[1759.9420000000025, 484.0]
707:[1337.214, 484.0]
405:[1519.1790000000028, 486.0]
43:[1698.2820000000013, 487.0]
70:[2395.0649999999982, 488.0]
774:[2027.9089999999971, 494.0]
952:[1559.2780000000005, 494.0]
630:[1548.2249999999997, 496.0]
527:[1188.4709999999982, 497.0]
800:[1901.6839999999963, 500.0]
97:[1479.2060000000013, 501.0]
611:[1448.4080000000067, 501.0]
963:[1312.2269999999987, 502.0]
265:[1388.0520000000026, 503.0]
746:[1992.477999999999, 505.0]
496:[1425.456, 507.0]
749:[1350.0700000000006, 507.0]
819:[1257.0420000000026, 508.0]
373:[1993.6820000000014, 511.0]
1:[1518.604000000001, 513.0]
765:[1730.8399999999972, 514.0]
294:[1472.7129999999997, 517.0]
185:[1494.5169999999994, 518.0]
10:[1325.964000000001, 518.0]
805:[1794.762999999997, 520.0]
735:[1702.3239999999962, 520.0]
35:[1993.848000000006, 523.0]
890:[1432.9569999999972, 523.0]
513:[1281.2600000000004, 523.0]
197:[1222.3309999999992, 525.0]
471:[2875.827999999998, 526.0]
995:[1506.219999999996, 526.0]
820:[1479.3029999999985, 529.0]
33:[1487.1449999999957, 530.0]
58:[1317.350999999998, 532.0]
429:[1062.3339999999985, 532.0]
385:[1673.852999999999, 534.0]
665:[1298.8339999999994, 535.0]
989:[1301.4129999999968, 540.0]
234:[1435.6039999999996, 541.0]
606:[2646.3350000000028, 543.0]
964:[1532.7069999999992, 543.0]
515:[1154.7670000000003, 543.0]
51:[1612.3979999999974, 545.0]
469:[1496.184, 546.0]
336:[1061.7740000000013, 546.0]
310:[1405.0899999999995, 547.0]
583:[1377.9689999999978, 549.0]
4:[1402.2440000000008, 550.0]
348:[1203.1959999999979, 550.0]
740:[1630.2780000000023, 552.0]
85:[1566.6010000000026, 552.0]
147:[1410.368, 554.0]
335:[1347.628999999999, 554.0]
591:[1255.2490000000016, 554.0]
686:[1497.9790000000014, 557.0]
628:[1112.1520000000007, 558.0]
981:[1523.7500000000018, 561.0]
600:[1185.4080000000035, 562.0]
641:[1493.635000000002, 563.0]
718:[1220.7349999999983, 563.0]
857:[1560.0410000000002, 566.0]
540:[1297.289000000002, 571.0]
978:[1162.5240000000001, 571.0]
884:[1666.1370000000002, 572.0]
259:[1497.212, 575.0]
322:[1164.6419999999991, 575.0]
843:[1205.9840000000008, 578.0]
738:[2103.9739999999997, 579.0]
181:[1237.637, 580.0]
343:[1606.3439999999991, 583.0]
899:[1266.9819999999993, 584.0]
708:[1071.9269999999974, 585.0]
130:[1701.333000000001, 586.0]
162:[1459.0070000000017, 589.0]
28:[1470.9109999999996, 593.0]
860:[1262.3990000000003, 594.0]
792:[1320.3770000000002, 595.0]
632:[1073.2849999999992, 595.0]
361:[1070.026, 595.0]
319:[1357.1960000000036, 598.0]
578:[1307.971000000003, 598.0]
574:[1311.3449999999964, 603.0]
688:[1127.6070000000016, 608.0]
275:[1681.2920000000001, 609.0]
550:[1204.2350000000015, 610.0]
377:[1154.488000000002, 611.0]
941:[1118.3850000000039, 626.0]
859:[1275.9469999999988, 627.0]
733:[1142.7459999999987, 628.0]
517:[1207.0020000000004, 629.0]
554:[1109.990999999998, 629.0]
623:[1838.2690000000011, 640.0]
521:[1588.064999999998, 642.0]
949:[1428.7719999999977, 642.0]
867:[1543.2890000000014, 646.0]
504:[1292.5840000000026, 646.0]
784:[1236.668000000005, 646.0]
530:[1261.8300000000027, 650.0]
394:[1134.1509999999998, 650.0]
992:[1121.7530000000002, 651.0]
154:[1446.921000000002, 657.0]
357:[1132.9360000000015, 659.0]
687:[1783.340999999999, 660.0]
810:[1275.5180000000057, 661.0]
207:[1222.9819999999984, 663.0]
573:[1212.3919999999987, 669.0]
988:[1190.4930000000006, 670.0]
94:[1203.760999999998, 677.0]
823:[1033.5239999999988, 677.0]
378:[1164.709999999998, 680.0]
900:[1163.6119999999985, 680.0]
928:[1043.9610000000025, 683.0]
946:[1326.3360000000002, 684.0]
208:[1486.2129999999972, 685.0]
422:[1235.097999999999, 685.0]
41:[1360.4720000000016, 690.0]
716:[1207.9299999999982, 690.0]
790:[1089.3250000000023, 690.0]
563:[1051.749999999999, 690.0]
423:[1419.4330000000011, 692.0]
122:[1093.0530000000008, 693.0]
710:[1041.7450000000003, 693.0]
651:[1285.0009999999966, 697.0]
567:[1110.308000000001, 701.0]
157:[1145.7670000000005, 711.0]
308:[1393.3059999999975, 712.0]
906:[1448.6550000000027, 719.0]
126:[1079.0590000000022, 719.0]
163:[1258.6330000000012, 721.0]
546:[1045.3139999999987, 722.0]
701:[1280.8070000000002, 728.0]
105:[1111.041999999999, 729.0]
325:[1039.1689999999994, 732.0]
948:[1131.8560000000011, 736.0]
414:[1176.2230000000027, 738.0]
5:[1088.819999999999, 740.0]
991:[1272.953, 741.0]
490:[1046.7250000000013, 748.0]
458:[1119.137, 752.0]
804:[1317.2080000000005, 759.0]
125:[1281.2680000000018, 778.0]
111:[1160.533000000001, 784.0]
171:[1082.9049999999986, 792.0]
576:[1343.5470000000016, 798.0]
468:[1079.8579999999997, 813.0]
37:[1255.2630000000022, 817.0]
428:[1031.703000000001, 833.0]
170:[1200.222000000001, 848.0]
500:[1435.6129999999996, 882.0]
649:[1305.003, 959.0]
173:[1091.6719999999996, 985.0]
366:[1034.3940000000007, 1013.0]
