Motorbike_HIGH, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_CO_lv2:[263.5525955044574, 50.0]
Person_HIGH, Truck_MODERATE, Car_LOW, Motorbike_HIGH, Bus_LOW, AQI_CO_lv2:[3.6287413166340414, 483.0]
Bus_HIGH, Truck_MODERATE, Person_MODERATE, Motorbike_HIGH, Car_HIGH, AQI_CO_lv2:[1.955240197862903, 496.0]
Person_HIGH, Motorbike_LOW, Car_HIGH, Bus_LOW, Truck_LOW, AQI_CO_lv2:[3.383486985430011, 506.0]
Bus_MODERATE, Motorbike_MODERATE, Truck_MODERATE, Car_MODERATE, Person_MODERATE, AQI_CO_lv2:[2.5525250249840274, 560.0]
Car_LOW, Truck_MODERATE, Person_LOW, Bus_LOW, Motorbike_LOW, AQI_CO_lv2:[11.97512481448929, 578.0]
Truck_HIGH, Bus_MODERATE, Motorbike_HIGH, Person_MODERATE, Car_HIGH, AQI_CO_lv2:[3.097422957877937, 581.0]
Truck_HIGH, Motorbike_LOW, Car_HIGH, Person_LOW, Bus_LOW, AQI_CO_lv2:[5.0395180456586814, 584.0]
Truck_HIGH, Motorbike_MODERATE, Car_HIGH, Person_MODERATE, Bus_LOW, AQI_CO_lv2:[1.7115825111164757, 588.0]
Bus_MODERATE, Motorbike_LOW, Truck_MODERATE, Person_LOW, Car_MODERATE, AQI_CO_lv2:[4.713499894750666, 600.0]
Bus_MODERATE, Person_LOW, Motorbike_HIGH, Truck_MODERATE, Car_HIGH, AQI_CO_lv2:[1.098260202748361, 601.0]
Person_HIGH, Motorbike_LOW, Car_LOW, Truck_LOW, Bus_LOW, AQI_CO_lv2:[5.222717812730101, 603.0]
Bus_MODERATE, Person_HIGH, Truck_MODERATE, Car_MODERATE, Motorbike_HIGH, AQI_CO_lv2:[1.2702041696060826, 614.0]
Car_LOW, Person_MODERATE, Motorbike_LOW, Bus_LOW, Truck_LOW, AQI_CO_lv2:[22.803686236472185, 635.0]
Bus_MODERATE, Person_HIGH, Car_HIGH, Truck_LOW, Motorbike_HIGH, AQI_CO_lv2:[1.694004263331756, 650.0]
Truck_HIGH, Motorbike_LOW, Car_MODERATE, Person_LOW, Bus_LOW, AQI_CO_lv2:[5.543165538460473, 651.0]
Truck_MODERATE, Motorbike_LOW, Car_HIGH, Person_MODERATE, Bus_LOW, AQI_CO_lv2:[2.364875800270198, 651.0]
Person_HIGH, Truck_MODERATE, Motorbike_MODERATE, Car_MODERATE, Bus_LOW, AQI_CO_lv2:[3.548838316791053, 673.0]
Bus_MODERATE, Person_LOW, Motorbike_MODERATE, Car_MODERATE, Truck_MODERATE, AQI_CO_lv2:[1.6892573217580495, 677.0]
Bus_MODERATE, Person_LOW, Motorbike_MODERATE, Truck_LOW, Car_MODERATE, AQI_CO_lv2:[1.588922501222303, 684.0]
Bus_HIGH, Person_HIGH, Truck_MODERATE, Car_HIGH, Motorbike_HIGH, AQI_CO_lv2:[1.110163258570962, 691.0]
Person_HIGH, Truck_MODERATE, Car_LOW, Motorbike_MODERATE, Bus_LOW, AQI_CO_lv2:[3.1367179596770023, 725.0]
Bus_HIGH, Motorbike_MODERATE, Person_MODERATE, Car_HIGH, Truck_LOW, AQI_CO_lv2:[1.1535854101118193, 738.0]
Bus_HIGH, Motorbike_MODERATE, Person_LOW, Car_HIGH, Truck_LOW, AQI_CO_lv2:[2.3947987353154057, 740.0]
Bus_MODERATE, Person_HIGH, Truck_MODERATE, Car_HIGH, Motorbike_HIGH, AQI_CO_lv2:[1.5250018100514562, 743.0]
Car_HIGH, Person_LOW, Motorbike_HIGH, Truck_LOW, Bus_LOW, AQI_CO_lv2:[5.535007542896722, 752.0]
Truck_HIGH, Motorbike_MODERATE, Person_LOW, Bus_LOW, Car_HIGH, AQI_CO_lv2:[1.1177436711380266, 880.0]
Truck_HIGH, Motorbike_LOW, Person_MODERATE, Car_HIGH, Bus_LOW, AQI_CO_lv2:[1.1186152186801959, 894.0]
Truck_HIGH, Car_LOW, Motorbike_HIGH, Bus_LOW, Person_HIGH, AQI_CO_lv2:[2.0749179651417125, 925.0]
Car_LOW, Motorbike_HIGH, Person_LOW, Truck_LOW, Bus_LOW, AQI_CO_lv2:[5.197470815888875, 935.0]
Person_HIGH, Truck_MODERATE, Motorbike_MODERATE, Car_HIGH, Bus_LOW, AQI_CO_lv2:[1.0323750312959645, 963.0]
Bus_MODERATE, Person_HIGH, Car_MODERATE, Truck_LOW, Motorbike_HIGH, AQI_CO_lv2:[2.8845022542625953, 976.0]
Car_LOW, Truck_MODERATE, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_CO_lv2:[1.4677072225566212, 979.0]
Bus_HIGH, Car_LOW, Truck_HIGH, Motorbike_HIGH, Person_HIGH, AQI_CO_lv2:[1.8722696068233826, 993.0]
Bus_MODERATE, Car_LOW, Person_LOW, Motorbike_LOW, Truck_LOW, AQI_CO_lv2:[1.1751782052533928, 1251.0]
Person_HIGH, Motorbike_LOW, Truck_MODERATE, Car_LOW, Bus_LOW, AQI_CO_lv2:[1.0464318086294224, 1301.0]
Bus_HIGH, Car_LOW, Truck_LOW, Motorbike_HIGH, Person_HIGH, AQI_CO_lv2:[1.5638844586213005, 1335.0]
Truck_HIGH, Car_LOW, Motorbike_MODERATE, Person_HIGH, Bus_LOW, AQI_CO_lv2:[1.4506960313048967, 1351.0]
Bus_MODERATE, Motorbike_LOW, Person_MODERATE, Car_HIGH, Truck_LOW, AQI_CO_lv2:[1.0980768074700615, 1490.0]
