Motorbike_HIGH, Car_MODERATE, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[96.94954095066012, 63.0]
Car_HIGH, Motorbike_LOW, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[8.981797058731118, 395.0]
Car_HIGH, Motorbike_MODERATE, Truck_LOW, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[14.47926777319773, 396.0]
Car_LOW, Motorbike_HIGH, Person_MODERATE, Bus_LOW, Truck_LOW, AQI_PM2.5_lv3:[21.331246178758054, 428.0]
Person_HIGH, Truck_MODERATE, Car_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv3:[11.113058193684047, 434.0]
Person_HIGH, Truck_MODERATE, Car_HIGH, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv3:[12.38436156281141, 456.0]
Person_HIGH, Motorbike_MODERATE, Car_HIGH, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[2.747668778529464, 468.0]
Person_HIGH, Motorbike_LOW, Car_HIGH, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[1.267264905630126, 503.0]
Truck_MODERATE, Person_LOW, Motorbike_MODERATE, Car_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[4.675440263550108, 504.0]
Bus_MODERATE, Motorbike_LOW, Truck_LOW, Car_MODERATE, Person_LOW, AQI_PM2.5_lv3:[1.740428087366754, 522.0]
Bus_MODERATE, Motorbike_MODERATE, Truck_LOW, Car_MODERATE, Person_MODERATE, AQI_PM2.5_lv3:[2.0511815262414057, 551.0]
Person_HIGH, Motorbike_LOW, Car_MODERATE, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[4.694562889220365, 602.0]
Car_HIGH, Person_LOW, Motorbike_HIGH, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[2.8186104749949465, 644.0]
Person_HIGH, Car_LOW, Truck_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_PM2.5_lv3:[1.665903827837159, 646.0]
Truck_HIGH, Person_LOW, Motorbike_LOW, Car_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[3.044152965932843, 651.0]
Truck_MODERATE, Motorbike_LOW, Person_MODERATE, Car_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[2.162257305872401, 651.0]
Truck_HIGH, Bus_MODERATE, Motorbike_HIGH, Car_HIGH, Person_MODERATE, AQI_PM2.5_lv3:[1.5620133965034462, 652.0]
Car_LOW, Truck_MODERATE, Person_LOW, Motorbike_LOW, Bus_LOW, AQI_PM2.5_lv3:[6.225331166031693, 660.0]
Truck_HIGH, Car_HIGH, Bus_LOW, Motorbike_HIGH, Person_MODERATE, AQI_PM2.5_lv3:[1.930777877222869, 670.0]
Bus_MODERATE, Motorbike_MODERATE, Truck_MODERATE, Person_MODERATE, Car_MODERATE, AQI_PM2.5_lv3:[1.551399046654096, 721.0]
Car_LOW, Person_MODERATE, Motorbike_LOW, Bus_LOW, Truck_LOW, AQI_PM2.5_lv3:[10.900776043189461, 725.0]
Person_HIGH, Car_LOW, Truck_MODERATE, Motorbike_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[2.263316446102823, 725.0]
Truck_MODERATE, Motorbike_LOW, Car_HIGH, Person_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[1.2532705850737045, 743.0]
Bus_HIGH, Person_LOW, Car_HIGH, Truck_LOW, Motorbike_MODERATE, AQI_PM2.5_lv3:[1.013741222341167, 797.0]
Truck_HIGH, Person_HIGH, Car_MODERATE, Bus_LOW, Motorbike_HIGH, AQI_PM2.5_lv3:[1.821165317365905, 822.0]
Person_HIGH, Car_LOW, Motorbike_HIGH, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[17.281275422238377, 841.0]
Person_HIGH, Motorbike_MODERATE, Truck_MODERATE, Car_MODERATE, Bus_LOW, AQI_PM2.5_lv3:[1.6589378437259916, 886.0]
Truck_HIGH, Car_LOW, Motorbike_HIGH, Person_HIGH, Bus_LOW, AQI_PM2.5_lv3:[1.7079645870912898, 925.0]
Car_LOW, Motorbike_HIGH, Person_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[2.4039681990679487, 935.0]
Person_HIGH, Motorbike_LOW, Car_LOW, Truck_LOW, Bus_LOW, AQI_PM2.5_lv3:[1.9724983931496336, 960.0]
Bus_MODERATE, Motorbike_LOW, Truck_MODERATE, Person_LOW, Car_MODERATE, AQI_PM2.5_lv3:[2.8272540938832575, 988.0]
Truck_HIGH, Person_HIGH, Car_HIGH, Bus_LOW, Motorbike_HIGH, AQI_PM2.5_lv3:[1.7759184972363142, 1157.0]
Bus_HIGH, Car_LOW, Motorbike_HIGH, Truck_LOW, Person_HIGH, AQI_PM2.5_lv3:[1.0407534573199806, 1335.0]
Bus_MODERATE, Person_HIGH, Truck_LOW, Motorbike_HIGH, Car_MODERATE, AQI_PM2.5_lv3:[1.9203243282726457, 1365.0]
