Motorbike_LOW, Car_MODERATE, Person_LOW, Truck_LOW, Bus_LOW, AQI_O3_lv1:[683.7385193758611, 67.0]
Truck_HIGH, Motorbike_LOW, Car_HIGH, Bus_LOW, Person_LOW, AQI_O3_lv1:[5.328796357713322, 584.0]
Bus_MODERATE, Motorbike_MODERATE, Truck_LOW, Car_MODERATE, Person_MODERATE, AQI_O3_lv1:[5.305217123983917, 335.0]
Bus_MODERATE, Motorbike_LOW, Truck_LOW, Car_MODERATE, Person_LOW, AQI_O3_lv1:[5.270707954393694, 437.0]
Truck_HIGH, Motorbike_LOW, Car_MODERATE, Person_LOW, Bus_LOW, AQI_O3_lv1:[4.578406804259242, 651.0]
Car_HIGH, Motorbike_LOW, Person_MODERATE, Truck_LOW, Bus_LOW, AQI_O3_lv1:[4.5676512593210195, 360.0]
Truck_HIGH, Person_MODERATE, Car_HIGH, Bus_LOW, Motorbike_HIGH, AQI_O3_lv1:[4.4552979749752275, 502.0]
Truck_HIGH, Person_HIGH, Car_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_O3_lv1:[4.449155882369386, 376.0]
Truck_MODERATE, Motorbike_LOW, Car_HIGH, Person_LOW, Bus_LOW, AQI_O3_lv1:[4.431332442673404, 448.0]
Bus_MODERATE, Motorbike_MODERATE, Truck_MODERATE, Car_HIGH, Person_MODERATE, AQI_O3_lv1:[3.9231677877623774, 435.0]
Person_HIGH, Motorbike_LOW, Car_LOW, Truck_LOW, Bus_LOW, AQI_O3_lv1:[3.6419558253483126, 603.0]
Person_HIGH, Truck_MODERATE, Car_LOW, Motorbike_HIGH, Bus_LOW, AQI_O3_lv1:[3.397503425882573, 483.0]
Person_HIGH, Motorbike_LOW, Car_HIGH, Truck_LOW, Bus_LOW, AQI_O3_lv1:[3.3718554131912812, 717.0]
Truck_HIGH, Car_MODERATE, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_O3_lv1:[3.3013194054264265, 434.0]
Person_HIGH, Truck_MODERATE, Car_LOW, Motorbike_MODERATE, Bus_LOW, AQI_O3_lv1:[3.2590224319668613, 725.0]
Truck_HIGH, Car_LOW, Motorbike_HIGH, Person_HIGH, Bus_LOW, AQI_O3_lv1:[3.1427853764780465, 925.0]
Person_HIGH, Truck_MODERATE, Motorbike_MODERATE, Car_MODERATE, Bus_LOW, AQI_O3_lv1:[3.0376855972654857, 699.0]
Truck_HIGH, Bus_MODERATE, Motorbike_HIGH, Person_MODERATE, Car_HIGH, AQI_O3_lv1:[3.0219899056572026, 582.0]
Truck_MODERATE, Person_LOW, Motorbike_HIGH, Car_HIGH, Bus_LOW, AQI_O3_lv1:[2.690776798223049, 289.0]
Bus_MODERATE, Motorbike_MODERATE, Truck_MODERATE, Car_MODERATE, Person_MODERATE, AQI_O3_lv1:[2.2347049860576598, 649.0]
Bus_HIGH, Person_LOW, Motorbike_MODERATE, Car_HIGH, Truck_LOW, AQI_O3_lv1:[2.052173913043478, 740.0]
Bus_MODERATE, Person_HIGH, Car_HIGH, Truck_LOW, Motorbike_HIGH, AQI_O3_lv1:[1.7702344551816849, 650.0]
Bus_MODERATE, Motorbike_MODERATE, Car_HIGH, Truck_LOW, Person_MODERATE, AQI_O3_lv1:[1.6618070989437204, 429.0]
Bus_MODERATE, Person_LOW, Car_HIGH, Motorbike_MODERATE, Truck_MODERATE, AQI_O3_lv1:[1.6432012668542808, 548.0]
Truck_MODERATE, Person_LOW, Motorbike_HIGH, Car_MODERATE, Bus_LOW, AQI_O3_lv1:[1.6395017677955672, 627.0]
Bus_HIGH, Car_LOW, Truck_LOW, Motorbike_HIGH, Person_HIGH, AQI_O3_lv1:[1.634259259259259, 1335.0]
Bus_MODERATE, Person_HIGH, Truck_MODERATE, Car_MODERATE, Motorbike_HIGH, AQI_O3_lv1:[1.574626369445777, 614.0]
Bus_MODERATE, Person_LOW, Motorbike_MODERATE, Car_MODERATE, Truck_MODERATE, AQI_O3_lv1:[1.562801521797463, 677.0]
Truck_HIGH, Car_LOW, Motorbike_MODERATE, Person_HIGH, Bus_LOW, AQI_O3_lv1:[1.515977352713617, 1351.0]
Person_HIGH, Motorbike_LOW, Truck_MODERATE, Car_MODERATE, Bus_LOW, AQI_O3_lv1:[1.470310356065354, 1445.0]
Bus_HIGH, Truck_MODERATE, Person_MODERATE, Motorbike_HIGH, Car_HIGH, AQI_O3_lv1:[1.3779536282733582, 910.0]
Truck_HIGH, Motorbike_MODERATE, Person_LOW, Bus_LOW, Car_HIGH, AQI_O3_lv1:[1.361278851315083, 880.0]
Truck_HIGH, Motorbike_MODERATE, Person_MODERATE, Bus_LOW, Car_HIGH, AQI_O3_lv1:[1.3338310205965942, 588.0]
Bus_MODERATE, Person_LOW, Motorbike_MODERATE, Truck_LOW, Car_MODERATE, AQI_O3_lv1:[1.3257569272540424, 941.0]
Truck_MODERATE, Motorbike_LOW, Car_HIGH, Person_MODERATE, Bus_LOW, AQI_O3_lv1:[1.2440199129700091, 1048.0]
Bus_MODERATE, Car_LOW, Motorbike_LOW, Person_LOW, Truck_LOW, AQI_O3_lv1:[1.2280612244897955, 1251.0]
Bus_MODERATE, Person_LOW, Motorbike_HIGH, Truck_MODERATE, Car_HIGH, AQI_O3_lv1:[1.1679038690938537, 601.0]
Bus_HIGH, Person_HIGH, Truck_MODERATE, Car_HIGH, Motorbike_HIGH, AQI_O3_lv1:[1.1601206052066553, 691.0]
Bus_MODERATE, Motorbike_LOW, Car_HIGH, Person_MODERATE, Truck_LOW, AQI_O3_lv1:[1.1474902638062143, 1490.0]
Truck_MODERATE, Car_LOW, Person_MODERATE, Motorbike_HIGH, Bus_LOW, AQI_O3_lv1:[1.1366677116986532, 985.0]
Bus_MODERATE, Person_LOW, Car_HIGH, Truck_LOW, Motorbike_MODERATE, AQI_O3_lv1:[1.1268598370519285, 1055.0]
Bus_MODERATE, Person_HIGH, Car_MODERATE, Truck_LOW, Motorbike_HIGH, AQI_O3_lv1:[1.0681444578636607, 1407.0]
Truck_MODERATE, Car_LOW, Person_MODERATE, Motorbike_LOW, Bus_LOW, AQI_O3_lv1:[1.0535968871661479, 1015.0]
Bus_MODERATE, Car_LOW, Motorbike_MODERATE, Person_LOW, Truck_LOW, AQI_O3_lv1:[1.049977997287964, 973.0]
Truck_HIGH, Bus_MODERATE, Motorbike_MODERATE, Car_HIGH, Person_MODERATE, AQI_O3_lv1:[1.0246170986740584, 627.0]
Bus_HIGH, Truck_HIGH, Car_LOW, Person_HIGH, Motorbike_HIGH, AQI_O3_lv1:[1.0, 1360.0]
